store,address,phone,address2,지역 시/군/구
평촌점,경기 안양시 동안구 관평로182번길 17,031-388-9401,경기도 안양시 동안구 관평로182번길 17,안양시동안구
구리번영점,경기 구리시 체육관로80번길 19,031-551-8245,경기도 구리시 체육관로80번길 19,구리시
구리원일점,경기 구리시 동구릉로53번길 79,1577-9621,경기도 구리시 동구릉로53번길 79,구리시
수원매여울점,경기 수원시 영통구 매여울로68번길 2,1577-9621,경기도 수원시 영통구 매여울로68번길 2,수원시 영통구
양주휴게소점,경기 양주시 장흥면 서울외곽순환고속도로 58 양주간이휴게시설,1577-9621,경기도 양주시 장흥면 서울외곽순환고속도로 58 양주간이휴게시설,양주시
진안대풍점,경기 화성시 병점동로 110-11,1577-9621,경기도 화성시 병점동로 110-11,화성시
시화공단점,"경기 시흥시 정왕천로 197 디지털파크 139,155호",1577-9621,"경기도 시흥시 정왕천로 197 디지털파크 139,155호",시흥시
분당타운점,경기 성남시 분당구 분당로311번길 6,1577-9621,경기도 성남시 분당구 분당로311번길 6,성남시 분당구
의정부중앙점,경기도 의정부시 시민로122번길 11,1577-9621,경기도 의정부시 시민로122번길 11,의정부시
태안안녕점,경기도 화성시 안녕남로 140,1577-9621,경기도 화성시 안녕남로 140,화성시
김포원산점,경기 김포시 하성면 월하로 633,031-996-4799 소프트크림 판매점,경기도 김포시 하성면 월하로 633,김포시
안산예스점,경기 안산시 상록구 후곡로 23,031-406-2972 소프트크림 판매점,경기도 안산시 상록구 후곡로 23,안산시상록구
이천중리점,경기 이천시 남천로 42,1577-9621,경기도 이천시 남천로 42,이천시
안산본원점,"경기 안산시 상록구 충장로2길 16, 1층",1577-9621 소프트크림 판매점,"경기도 안산시 상록구 충장로2길 16, 1층",안산시상록구
구리인창점,경기 구리시 건원대로 42,1577-9621,경기도 구리시 건원대로 42,구리시
일산주엽점,경기 고양시 일산서구 중앙로 1376 (주엽동),1577-9621 소프트크림 판매점,경기도 고양시 일산서구 중앙로 1376 (주엽동),구리시
원흥주공점,경기도 고양시 덕양구 도래울로 16 LH도래울마을6단지 101,1577-9621 소프트크림 판매점,경기도 고양시 덕양구 도래울로 16 LH도래울마을6단지 101,고양시덕양구
판교타워점,경기 성남시 분당구 판교로227번길 6 (삼평동 617 109호),1577-9621 소프트크림 판매점,경기도 성남시 분당구 판교로227번길 6 (삼평동 617 109호),성남시 분당구
화성사강점,경기도 화성시 송산면 사강시장길 52,1577-9621,경기도 화성시 송산면 사강시장길 52,화성시
판교점,경기 성남시 분당구 판교역로 235,031-696-7669 소프트크림 판매점,경기도 성남시 분당구 판교역로 235,성남시 분당구
안산성포점,경기 안산시 상록구 화랑로 501,031-480-3795,경기도 안산시 상록구 화랑로 501,안산시상록구
기아화성점,경기 화성시 우정읍 기아자동차로 95,031-351-1704,경기도 화성시 우정읍 기아자동차로 95,화성시
포승원정점,경기 평택시 포승읍 호암길 3,1577-9621,경기도 평택시 포승읍 호암길 3,평택시
부천테크노점,경기 부천시 석천로 397 부천테크노파크 쌍용 3차 203동 202호,1577-9621 소프트크림 판매점,경기도 부천시 석천로 397 부천테크노파크 쌍용 3차 203동 202호,부천시
수원하이엔드점,경기 수원시 팔달구 효원로 299,1577-9621,경기도 수원시 팔달구 효원로 299,수원시 팔달구
포승본점,경기 평택시 포승읍 여술4길 18-22,1577-9621 소프트크림 판매점,경기도 평택시 포승읍 여술4길 18-22,평택시
범박휴먼시아점,경기 부천시 양지로 20 범박휴먼시아1단지 상가동 1층 105호,1577-9621,경기도 부천시 양지로 20 범박휴먼시아1단지 상가동 1층 105호,부천시
시흥정왕점,"경기 시흥시 정왕천로359번길 30, 1층",1577-9621,"경기도 시흥시 정왕천로359번길 30, 1층",시흥시
오이도등대점,경기 시흥시 오이도로157번길 4,1577-9621 소프트크림 판매점,경기도 시흥시 오이도로157번길 4,시흥시
성남대성점,경기 성남시 중원구 광명로 17,031-754-3741,경기도 성남시 중원구 광명로 17,성남시 중원구
민락부용점,경기도 의정부시 오목로 251 부용마을3단지상가 102호,1577-9621 소프트크림 판매점,경기도 의정부시 오목로 251 부용마을3단지상가 102호,의정부시
분당판테온점,경기 성남시 분당구 황새울로200번길 9-7,1577-9621,경기도 성남시 분당구 황새울로200번길 9-7,성남시 분당구
트리플타워점,경기 부천시 소향로253번길 17,032-324-6306 소프트크림 판매점,경기도 부천시 소향로253번길 17,부천시
철산점,"경기도 광명시 디지털로33번길 5,105,106,107호",1577-9621 소프트크림 판매점,"경기도 광명시 디지털로33번길 5,105,106,107호",광명시
양주석우점,경기 양주시 광적면 광적로 151,031-871-0897,경기도 양주시 광적면 광적로 151,양주시
